ID,Age,Gender,Experience,Income,Family,CCAvg,Education,Mortgage,HomeOwnership,Personal Loan
1,25.0,M,1,49.0,4,1.6,b,0,Home Owner,0
2,45.0,M,19,34.0,3,1.5,b,0,Rent,0
3,39.0,M,15,11.0,1,1.0,b,0,Rent,0
4,35.0,M,9,100.0,1,2.7,m,0,Rent,0
5,35.0,M,8,45.0,4,1.0,m,0,Rent,0
6,37.0,M,13,29.0,4,0.4,m,155,Rent,0
7,53.0,M,27,72.0,2,1.5,m,0,Rent,0
8,50.0,M,24,22.0,1,0.3,a,0,Rent,0
9,35.0,M,10,81.0,3,0.6,m,104,Rent,0
10,34.0,M,9,180.0,1,8.9,a,0,Home Owner,1
11,65.0,F,39,105.0,4,2.4,a,0,Home Owner,0
12,29.0,F,5,45.0,3,0.1,m,0,Home Owner,0
13,48.0,F,23,114.0,2,3.8,a,0,Home Owner,0
14,59.0,F,32,40.0,4,2.5,m,0,Home Owner,0
15,67.0,F,41,112.0,1,2.0,b,0,Home Owner,0
16,60.0,F,30,22.0,1,1.5,a,0,Home Owner,0
17,38.0,M,14,130.0,4,4.7,a,134,Rent,1
18,42.0,O,18,81.0,4,2.4,b,0,Rent,0
19,46.0,M,21,193.0,2,8.1,a,0,Rent,1
20,55.0,M,28,21.0,1,0.5,m,0,Rent,0
21,56.0,M,31,25.0,4,0.9,m,111,Rent,0
22,57.0,M,27,63.0,3,2.0,a,0,Rent,0
23,29.0,M,5,62.0,1,1.2,b,260,Rent,0
24,44.0,M,18,43.0,2,0.7,b,163,Rent,0
25,36.0,M,11,152.0,2,3.9,b,159,Rent,0
26,43.0,M,19,29.0,3,0.5,b,97,Rent,0
27,40.0,M,16,83.0,4,0.2,a,0,Rent,0
28,46.0,M,20,158.0,1,2.4,b,0,Rent,0
29,56.0,M,30,48.0,1,2.2,a,0,Rent,0
30,38.0,M,13,72.74614760746148,1,3.3,m,0,Rent,1
31,59.0,F,35,35.0,1,1.2,a,122,Home Mortage,0
32,40.0,F,16,29.0,1,2.0,m,0,Home Mortage,0
33,53.0,F,28,41.0,2,0.6,a,193,Home Mortage,0
34,30.0,F,6,18.0,3,0.9,a,0,Home Mortage,0
35,31.0,F,5,50.0,4,1.8,a,0,Home Mortage,0
36,48.0,F,24,81.0,3,0.7,b,0,Home Mortage,0
37,59.0,F,35,121.0,1,2.9,b,0,Home Mortage,0
38,51.0,F,25,71.0,1,1.4,a,198,Home Mortage,0
39,42.0,M,18,72.74614760746148,3,5.0,a,0,Rent,1
40,38.0,O,13,80.0,4,0.7,a,285,Rent,0
41,57.0,O,32,84.0,3,1.6,a,0,Rent,0
42,34.0,O,9,60.0,3,2.3,b,0,Rent,0
44,39.0,O,15,45.0,1,0.7,b,0,Home Mortage,0
